GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	GO TERM	GO NAME	TAXON ID	ASSIGNED BY	GO ASPECT
UniProtKB	A0A0G2JND4	MEIKIN	GO:0051754	meiotic sister chromatid cohesion, centromeric	9606	InterPro	P
UniProtKB	A0A0G2JQM2	SDCCAG8	GO:0007098	centrosome cycle	9606	InterPro	P
UniProtKB	A0A0G2JR20	SDCCAG8	GO:0007098	centrosome cycle	9606	InterPro	P
UniProtKB	A0A0G2JR50	SDCCAG8	GO:0007098	centrosome cycle	9606	InterPro	P
UniProtKB	A0A0J9YXL7	MEIKIN	GO:0051754	meiotic sister chromatid cohesion, centromeric	9606	InterPro	P
UniProtKB	A0A0S2Z4C6	PPP3CA	GO:0000082	G1/S transition of mitotic cell cycle	9606	Ensembl	P
UniProtKB	A0A0S2Z4M2	PPM1D	GO:0000086	G2/M transition of mitotic cell cycle	9606	Ensembl	P
UniProtKB	A0A0U1RRM9	TACC2	GO:0007052	mitotic spindle organization	9606	InterPro	P
UniProtKB	A0A140T8W2	RAD21L1	GO:0007062	sister chromatid cohesion	9606	InterPro	P
UniProtKB	A0A140T927	MSH5	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A140T963	RNF103-CHMP3	GO:0007080	mitotic metaphase chromosome alignment	9606	UniProt	P
UniProtKB	A0A140T963	RNF103-CHMP3	GO:0061952	midbody abscission	9606	UniProt	P
UniProtKB	A0A140T982	MSH5	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A140T9I9	MSH5	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A140T9J3	MSH5	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A140T9P6	MSH5	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A140TA08	TOP6BL	GO:0042138	meiotic DNA double-strand break formation	9606	InterPro	P
UniProtKB	A0A140VJC8	A0A140VJC8	GO:0000086	G2/M transition of mitotic cell cycle	9606	Ensembl	P
UniProtKB	A0A140VJC8	A0A140VJC8	GO:0000278	mitotic cell cycle	9606	Ensembl	P
UniProtKB	A0A140VJF3	A0A140VJF3	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A140VJP0	MAEL	GO:0007129	homologous chromosome pairing at meiosis	9606	Ensembl	P
UniProtKB	A0A140VJP0	MAEL	GO:0007140	male meiotic nuclear division	9606	Ensembl	P
UniProtKB	A0A140VJP0	MAEL	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A140VJV9	A0A140VJV9	GO:0000711	meiotic DNA repair synthesis	9606	UniProt	P
UniProtKB	A0A140VJV9	A0A140VJV9	GO:0007129	homologous chromosome pairing at meiosis	9606	UniProt	P
UniProtKB	A0A140VKF1	A0A140VKF1	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0A140VKG9	A0A140VKG9	GO:0007129	homologous chromosome pairing at meiosis	9606	Ensembl	P
UniProtKB	A0A140VKG9	A0A140VKG9	GO:0007130	synaptonemal complex assembly	9606	Ensembl	P
UniProtKB	A0A140VKG9	A0A140VKG9	GO:0042138	meiotic DNA double-strand break formation	9606	Ensembl	P
UniProtKB	A0A140VKG9	A0A140VKG9	GO:0051177	meiotic sister chromatid cohesion	9606	Ensembl	P
UniProtKB	A0A140VKG9	A0A140VKG9	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A140VKG9	A0A140VKG9	GO:0051598	meiotic recombination checkpoint signaling	9606	Ensembl	P
UniProtKB	A0A158RUX1	PSMC3IP	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A1U9X7X2	A0A1U9X7X2	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	Ensembl	P
UniProtKB	A0A1U9X821	A0A1U9X821	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A1U9X823	A0A1U9X823	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A1U9X825	A0A1U9X825	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A1U9X826	A0A1U9X826	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A1U9X828	A0A1U9X828	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A1U9X835	A0A1U9X835	GO:0007127	meiosis I	9606	UniProt	P
UniProtKB	A0A1W2PRK2	TDRD12	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A1W2PS94	TEX15	GO:0007129	homologous chromosome pairing at meiosis	9606	InterPro	P
UniProtKB	A0A1W2PS94	TEX15	GO:0007140	male meiotic nuclear division	9606	InterPro	P
UniProtKB	A0A2H2FF08	ZFYVE26	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A2P9DTZ0	FOXM1	GO:0000086	G2/M transition of mitotic cell cycle	9606	InterPro	P
UniProtKB	A0A2P9DTZ1	FOXM1	GO:0000086	G2/M transition of mitotic cell cycle	9606	InterPro	P
UniProtKB	A0A2P9DTZ8	FOXM1	GO:0000086	G2/M transition of mitotic cell cycle	9606	InterPro	P
UniProtKB	A0A2R8Y358	TEX15	GO:0007129	homologous chromosome pairing at meiosis	9606	InterPro	P
UniProtKB	A0A2R8Y358	TEX15	GO:0007140	male meiotic nuclear division	9606	InterPro	P
UniProtKB	A0A2R8Y4I8	SPAST	GO:0032506	cytokinetic process	9606	UniProt	P
UniProtKB	A0A2R8Y4S6	CHAMP1	GO:0051315	attachment of mitotic spindle microtubules to kinetochore	9606	InterPro	P
UniProtKB	A0A2R8Y5A2	TOP6BL	GO:0042138	meiotic DNA double-strand break formation	9606	InterPro	P
UniProtKB	A0A2R8Y735	CHAMP1	GO:0051315	attachment of mitotic spindle microtubules to kinetochore	9606	InterPro	P
UniProtKB	A0A2R8Y872	TDRD12	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A2U3TZP7	TOP6BL	GO:0042138	meiotic DNA double-strand break formation	9606	InterPro	P
UniProtKB	A0A2U3TZR0	SPAST	GO:0032506	cytokinetic process	9606	UniProt	P
UniProtKB	A0A384MR33	SMC1L1	GO:0007062	sister chromatid cohesion	9606	InterPro	P
UniProtKB	A0A384MR33	SMC1L1	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A384MR52	CCNB1IP1	GO:0007131	reciprocal meiotic recombination	9606	UniProt	P
UniProtKB	A0A384MR52	CCNB1IP1	GO:0051026	chiasma assembly	9606	Ensembl	P
UniProtKB	A0A384MTT5	SPDY1	GO:0007140	male meiotic nuclear division	9606	Ensembl	P
UniProtKB	A0A384MTT5	SPDY1	GO:0070197	meiotic attachment of telomere to nuclear envelope	9606	Ensembl	P
UniProtKB	A0A384N611	A0A384N611	GO:0140013	meiotic nuclear division	9606	Ensembl	P
UniProtKB	A0A384NQ41	A0A384NQ41	GO:0007130	synaptonemal complex assembly	9606	InterPro	P
UniProtKB	A0A384NQ41	A0A384NQ41	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A384NYU5	A0A384NYU5	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0A494BZT8	TACC3	GO:0007052	mitotic spindle organization	9606	InterPro	P
UniProtKB	A0A494C117	TACC3	GO:0007052	mitotic spindle organization	9606	InterPro	P
UniProtKB	A0A494C1B7	RAD50	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A590UJ99	BUB1	GO:0007094	mitotic spindle assembly checkpoint signaling	9606	InterPro	P
UniProtKB	A0A590UJF1	STRA8	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A590UJH0	CEP126	GO:0007052	mitotic spindle organization	9606	InterPro	P
UniProtKB	A0A590UK33	CEP126	GO:0007052	mitotic spindle organization	9606	InterPro	P
UniProtKB	A0A590UK50	BUB1	GO:0007094	mitotic spindle assembly checkpoint signaling	9606	InterPro	P
UniProtKB	A0A590UK75	STRA8	GO:0051321	meiotic cell cycle	9606	InterPro	P
UniProtKB	A0A5F9ZHQ7	A0A5F9ZHQ7	GO:0051225	spindle assembly	9606	InterPro	P
UniProtKB	A0A669KAY0	TERB1	GO:0070197	meiotic attachment of telomere to nuclear envelope	9606	InterPro	P
UniProtKB	A0A6Q8PF18	A0A6Q8PF18	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A6Q8PF35	CHMP1A	GO:0007080	mitotic metaphase chromosome alignment	9606	UniProt	P
UniProtKB	A0A6Q8PF35	CHMP1A	GO:0061952	midbody abscission	9606	UniProt	P
UniProtKB	A0A6Q8PFF9	CHMP1A	GO:0007080	mitotic metaphase chromosome alignment	9606	UniProt	P
UniProtKB	A0A6Q8PFF9	CHMP1A	GO:0061952	midbody abscission	9606	UniProt	P
UniProtKB	A0A6Q8PFL9	A0A6Q8PFL9	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A6Q8PFU3	PAFAH1B1	GO:0000132	establishment of mitotic spindle orientation	9606	UniProt	P
UniProtKB	A0A6Q8PFX8	CHMP1A	GO:0007080	mitotic metaphase chromosome alignment	9606	UniProt	P
UniProtKB	A0A6Q8PFX8	CHMP1A	GO:0061952	midbody abscission	9606	UniProt	P
UniProtKB	A0A6Q8PG85	CHMP1A	GO:0007080	mitotic metaphase chromosome alignment	9606	UniProt	P
UniProtKB	A0A6Q8PG85	CHMP1A	GO:0061952	midbody abscission	9606	UniProt	P
UniProtKB	A0A6Q8PGM8	CHMP1A	GO:0007080	mitotic metaphase chromosome alignment	9606	UniProt	P
UniProtKB	A0A6Q8PGM8	CHMP1A	GO:0061952	midbody abscission	9606	UniProt	P
UniProtKB	A0A6Q8PHC3	SMC1A	GO:0007062	sister chromatid cohesion	9606	InterPro	P
UniProtKB	A0A6Q8PHC3	SMC1A	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A6Q8PHG4	A0A6Q8PHG4	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A6Q8PHU0	CHMP1A	GO:0007080	mitotic metaphase chromosome alignment	9606	UniProt	P
UniProtKB	A0A6Q8PHU0	CHMP1A	GO:0061952	midbody abscission	9606	UniProt	P
UniProtKB	A0A7I2V403	ZFYVE26	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7I2V4E6	ZFYVE26	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7I2V577	ZFYVE26	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7I2YQU3	ZFYVE26	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7I2YQV0	ZFYVE26	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7L8XZM3	BIRC5	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0A7P0T8C7	SNX9	GO:0000278	mitotic cell cycle	9606	InterPro	P
UniProtKB	A0A7P0T8C7	SNX9	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7P0T8D4	SNX9	GO:0000278	mitotic cell cycle	9606	InterPro	P
UniProtKB	A0A7P0T8D4	SNX9	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7P0T8M2	SNX9	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7P0T8S8	SNX9	GO:0000278	mitotic cell cycle	9606	InterPro	P
UniProtKB	A0A7P0T8S8	SNX9	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7P0T8Z2	SNX9	GO:0000278	mitotic cell cycle	9606	InterPro	P
UniProtKB	A0A7P0T8Z2	SNX9	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7P0T8Z7	SNX9	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7P0TBI9	SNX9	GO:0000278	mitotic cell cycle	9606	InterPro	P
UniProtKB	A0A7P0TBI9	SNX9	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7P0Z4A2	SNX9	GO:0000278	mitotic cell cycle	9606	InterPro	P
UniProtKB	A0A7P0Z4A2	SNX9	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7P0Z4A5	SNX9	GO:0000278	mitotic cell cycle	9606	InterPro	P
UniProtKB	A0A7P0Z4A5	SNX9	GO:0000281	mitotic cytokinesis	9606	InterPro	P
UniProtKB	A0A7U3JW18	FGF5A	GO:0000132	establishment of mitotic spindle orientation	9606	Ensembl	P
UniProtKB	A0A7U3JW18	FGF5A	GO:0000278	mitotic cell cycle	9606	Ensembl	P
UniProtKB	A0A804HIH1	SHOC1	GO:0000712	resolution of meiotic recombination intermediates	9606	InterPro	P
UniProtKB	A0A804HJ87	RAD21L1	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0A804HJ87	RAD21L1	GO:0007062	sister chromatid cohesion	9606	InterPro	P
UniProtKB	A0A804HJ87	RAD21L1	GO:0007129	homologous chromosome pairing at meiosis	9606	Ensembl	P
UniProtKB	A0A804HJ87	RAD21L1	GO:0007130	synaptonemal complex assembly	9606	Ensembl	P
UniProtKB	A0A804HJ87	RAD21L1	GO:0070197	meiotic attachment of telomere to nuclear envelope	9606	Ensembl	P
UniProtKB	A0A804HJV9	SHOC1	GO:0000712	resolution of meiotic recombination intermediates	9606	InterPro	P
UniProtKB	A0A804HK41	ZCWPW1	GO:0007127	meiosis I	9606	Ensembl	P
UniProtKB	A0A804HK41	ZCWPW1	GO:0007129	homologous chromosome pairing at meiosis	9606	Ensembl	P
UniProtKB	A0A804HK82	SHOC1	GO:0000712	resolution of meiotic recombination intermediates	9606	InterPro	P
UniProtKB	A0A804HKR0	SHOC1	GO:0000712	resolution of meiotic recombination intermediates	9606	InterPro	P
UniProtKB	A0A804HL92	SHOC1	GO:0000712	resolution of meiotic recombination intermediates	9606	InterPro	P
UniProtKB	A0A804HLJ8	SHOC1	GO:0000712	resolution of meiotic recombination intermediates	9606	UniProt	P
UniProtKB	A0A804HLJ8	SHOC1	GO:0007130	synaptonemal complex assembly	9606	Ensembl	P
UniProtKB	A0A804HLJ8	SHOC1	GO:0007131	reciprocal meiotic recombination	9606	Ensembl	P
UniProtKB	A0A8I5KT00	NCAPD3	GO:0007076	mitotic chromosome condensation	9606	UniProt	P
UniProtKB	A0A8I5KUG8	STAG2	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0A8I5KUG8	STAG2	GO:0007062	sister chromatid cohesion	9606	UniProt	P
UniProtKB	A0A8I5KVF8	STAG2	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0A8I5KVF8	STAG2	GO:0007062	sister chromatid cohesion	9606	UniProt	P
UniProtKB	A0A8I5KWV3	RAD21	GO:0007062	sister chromatid cohesion	9606	InterPro	P
UniProtKB	A0A8I5QKV8	RNF212B	GO:0007131	reciprocal meiotic recombination	9606	InterPro	P
UniProtKB	A0A8I5QKV8	RNF212B	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A8I5QKW0	NCAPD3	GO:0007076	mitotic chromosome condensation	9606	InterPro	P
UniProtKB	A0A8I5QL00	NCAPD3	GO:0007076	mitotic chromosome condensation	9606	InterPro	P
UniProtKB	A0A8V8TKV9	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TKW6	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TKW6	NBN	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A8V8TKY0	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TKY5	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TKY5	NBN	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A8V8TL91	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TL95	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TL98	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TLA3	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TM80	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TM80	NBN	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A8V8TM88	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TM88	NBN	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A8V8TM94	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TM94	NBN	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A8V8TMH1	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TMH1	NBN	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A8V8TMH6	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0A8V8TMH6	NBN	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A8V8TN20	RNF212	GO:0007131	reciprocal meiotic recombination	9606	InterPro	P
UniProtKB	A0A8V8TN20	RNF212	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A8V8TQA1	PPP2CA	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A8V8TQU8	PPP2CA	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A8V8TRA6	PPP2CA	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0A8V8TRB3	PPP2CA	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0AAA9YHD0	UBE2I	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0AAA9YHE7	UBE2I	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0AAA9YHF5	UBE2I	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0AAA9YHJ6	UBE2I	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0AAA9YHJ9	UBE2I	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0AAA9YHK4	UBE2I	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0AAA9YHQ4	UBE2I	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0AAA9YHQ8	UBE2I	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0AAA9YHW0	UBE2I	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0AAA9YHW2	UBE2I	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0AAG2TV03	BRME1	GO:1990918	double-strand break repair involved in meiotic recombination	9606	InterPro	P
UniProtKB	A0AAG2TV58	BRME1	GO:1990918	double-strand break repair involved in meiotic recombination	9606	InterPro	P
UniProtKB	A0AAG2UV05	CCNB1IP1	GO:0007131	reciprocal meiotic recombination	9606	InterPro	P
UniProtKB	A0AAG2UVD4	CCNB1IP1	GO:0007131	reciprocal meiotic recombination	9606	InterPro	P
UniProtKB	A0AAG2UWX7	CCNB1IP1	GO:0007131	reciprocal meiotic recombination	9606	InterPro	P
UniProtKB	A0AAQ5BGM1	PAFAH1B1	GO:0000132	establishment of mitotic spindle orientation	9606	UniProt	P
UniProtKB	A0AAQ5BGQ0	SPAST	GO:0032506	cytokinetic process	9606	UniProt	P
UniProtKB	A0AAQ5BH67	PAFAH1B1	GO:0000132	establishment of mitotic spindle orientation	9606	UniProt	P
UniProtKB	A0AAQ5BII0	CIAO2A	GO:0007059	chromosome segregation	9606	UniProt	P
UniProtKB	A0AVK6	E2F8	GO:0033301	cell cycle comprising mitosis without cytokinesis	9606	UniProt	P
UniProtKB	A0AVK6	E2F8	GO:0033301	cell cycle comprising mitosis without cytokinesis	9606	Ensembl	P
UniProtKB	A0JLU2	BUB1	GO:0007094	mitotic spindle assembly checkpoint signaling	9606	InterPro	P
UniProtKB	A0PJ71	NBN	GO:0007095	mitotic G2 DNA damage checkpoint signaling	9606	InterPro	P
UniProtKB	A0PJ71	NBN	GO:0051321	meiotic cell cycle	9606	UniProt	P
UniProtKB	A0PJ76	NCAPD2	GO:0007076	mitotic chromosome condensation	9606	InterPro	P
UniProtKB	A0PJB2	CDT1	GO:0071163	DNA replication preinitiation complex assembly	9606	InterPro	P
UniProtKB	A1L190	SYCE3	GO:0007130	synaptonemal complex assembly	9606	UniProt	P
UniProtKB	A1L190	SYCE3	GO:0007130	synaptonemal complex assembly	9606	GO_Central	P
UniProtKB	A1L190	SYCE3	GO:0007130	synaptonemal complex assembly	9606	UniProt	P
